src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_s
172.24.219.170,52.204.28.146,64743,443,tcp,1,66,0.0
172.24.219.170,52.204.28.146,64744,443,tcp,1,66,0.0
172.24.219.170,54.144.159.232,64745,443,tcp,1,66,0.0
172.24.219.170,54.144.159.232,64746,443,tcp,1,66,0.0
172.24.219.170,54.144.159.232,64747,443,tcp,1,66,0.0
172.24.219.170,23.23.57.136,64748,443,tcp,1,66,0.0
172.24.219.170,23.23.57.136,64749,443,tcp,1,66,0.0
172.24.219.170,23.23.57.136,64750,443,tcp,1,66,0.0
172.24.219.170,18.209.130.136,64751,443,tcp,1,66,0.0
172.24.219.170,18.209.130.136,64752,443,tcp,1,66,0.0
172.24.219.170,18.209.130.136,64753,443,tcp,1,66,0.0
172.24.219.170,44.207.251.162,64757,443,tcp,1,66,0.0
172.24.219.170,34.232.52.169,64758,443,tcp,1,66,0.0
172.24.219.170,3.217.2.135,64759,443,tcp,1,66,0.0
172.24.219.170,44.207.251.162,64760,443,tcp,1,66,0.0
172.24.219.170,44.207.251.162,64761,443,tcp,1,66,0.0
172.24.219.170,23.20.131.48,64762,443,tcp,1,66,0.0
172.24.219.170,34.232.52.169,64763,443,tcp,1,66,0.0
172.24.219.170,34.232.52.169,64764,443,tcp,1,66,0.0
172.24.219.170,23.23.42.155,64765,443,tcp,1,66,0.0
172.24.219.170,3.217.2.135,64766,443,tcp,1,66,0.0
172.24.219.170,3.217.2.135,64767,443,tcp,1,66,0.0
172.24.219.170,98.94.218.104,64768,443,tcp,1,66,0.0
